setID	setName	source	setsize.org
477139	G0 and Early G1	REACTOME	25
477138	BMAL1:CLOCK/NPAS2 Activates Circadian Expression	REACTOME	38
477137	The citric acid (TCA) cycle and respiratory electron transport	REACTOME	118
477136	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	REACTOME	12
477134	Meiotic Synapsis	REACTOME	75
477133	Meiosis	REACTOME	115
477132	Cell-Cell communication	REACTOME	130
477130	Signaling by NODAL	REACTOME	19
477129	Developmental Biology	REACTOME	422
477128	Growth hormone receptor signaling	REACTOME	24
477126	Cross-presentation of soluble exogenous antigens (endosomes)	REACTOME	49
477124	ER-Phagosome pathway	REACTOME	64
477122	Antigen processing-Cross presentation	REACTOME	78
477121	Regulation of KIT signaling	REACTOME	16
477120	Signaling by SCF-KIT	REACTOME	137
477119	Spry regulation of FGF signaling	REACTOME	16
477118	Negative regulation of FGFR signaling	REACTOME	40
477115	DAG and IP3 signaling	REACTOME	33
477112	ABCA transporters in lipid homeostasis	REACTOME	17
470353	Exon junction complex (EJC)	KEGG	18
470351	Nuclear pore complex	KEGG	39
469200	Legionellosis	KEGG	54
469199	Dopaminergic synapse	KEGG	129
413482	Fatty acid biosynthesis, elongation, endoplasmic reticulum	KEGG	11
413481	APC/C complex	KEGG	14
413469	COPII complex	KEGG	11
413468	HRD1/SEL1 ERAD complex	KEGG	12
413455	ECS complex	KEGG	12
413447	Proteasome, 19S regulatory particle (PA700)	KEGG	18
413446	Methionine salvage pathway	KEGG	11
413445	Spliceosome, U4/U6.U5 tri-snRNP	KEGG	30
413439	Aminoacyl-tRNA biosynthesis, eukaryotes	KEGG	38
413438	Spliceosome, 35S U5-snRNP	KEGG	36
413437	Spliceosome, Prp19/CDC5L complex	KEGG	14
413436	Spliceosome, U2-snRNP	KEGG	20
413434	Cytochrome c oxidase	KEGG	21
413432	Bile acid biosynthesis, cholesterol => cholate	KEGG	12
413428	BRCA1-associated genome surveillance complex (BASC)	KEGG	16
413420	Proteasome, 20S core particle	KEGG	15
413416	RNA polymerase III, eukaryotes	KEGG	17
413413	V-type ATPase, eukaryotes	KEGG	24
413412	Immunoproteasome	KEGG	17
413408	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	KEGG	15
413407	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	KEGG	11
413400	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	KEGG	22
413398	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	KEGG	24
413390	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	KEGG	11
413388	Acylglycerol degradation	KEGG	10
413387	C5 isoprenoid biosynthesis, mevalonate pathway	KEGG	10
413384	Triacylglycerol biosynthesis	KEGG	17
413381	beta-Oxidation	KEGG	12
413365	Glycosaminoglycan biosynthesis, heparan sulfate backbone	KEGG	10
413362	O-glycan biosynthesis, mucin type core	KEGG	27
413361	N-glycan precursor biosynthesis	KEGG	14
413360	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	KEGG	12
413356	N-glycan biosynthesis, complex type	KEGG	15
413354	Leucine degradation, leucine => acetoacetate + acetyl-CoA	KEGG	12
413353	Methionine degradation	KEGG	11
413352	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	KEGG	11
413348	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG	14
413343	Pentose phosphate pathway (Pentose phosphate cycle)	KEGG	12
413342	Gluconeogenesis, oxaloacetate => fructose-6P	KEGG	17
413340	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	KEGG	23
377873	Herpes simplex infection	KEGG	182
377263	GABAergic synapse	KEGG	89
377262	Fanconi anemia pathway	KEGG	53
375172	Salmonella infection	KEGG	85
373901	HTLV-I infection	KEGG	260
373900	Synaptic vesicle cycle	KEGG	64
366242	Nonsense Mediated Decay Independent of the Exon Junction Complex	REACTOME	89
366240	Nonsense-Mediated Decay*	REACTOME	106
366238	Amyloids	REACTOME	82
366231	Tandem pore domain potassium channels	REACTOME	12
366230	Voltage gated Potassium channels	REACTOME	43
366224	Inwardly rectifying K+ channels	REACTOME	33
366221	Potassium Channels	REACTOME	101
366171	Cytokine Signaling in Immune system	REACTOME	280
366167	The NLRP3 inflammasome	REACTOME	13
366166	Inflammasomes	REACTOME	18
366165	NOD1/2 Signaling Pathway	REACTOME	34
366164	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	REACTOME	50
366163	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	REACTOME	24
366162	Antigen processing: Ubiquitination & Proteasome degradation	REACTOME	215
366161	Class I MHC mediated antigen processing & presentation	REACTOME	256
366160	Adaptive Immune System	REACTOME	609
219802	SREBP signalling	WikiPathways	50
219801	Integrated Breast Cancer Pathway	WikiPathways	150
218111	Pertussis	KEGG	74
217716	Cholinergic synapse	KEGG	112
217173	Influenza A	KEGG	170
213818	Glutamatergic synapse	KEGG	117
213780	Tuberculosis	KEGG	177
213307	Endocrine and other factor-regulated calcium reabsorption	KEGG	49
213306	Measles	KEGG	134
212237	Mineral absorption	KEGG	51
205244	Endosomal Sorting Complex Required For Transport (ESCRT)	REACTOME	28
205243	Transcriptional Regulation of White Adipocyte Differentiation	REACTOME	77
205242	Meiotic Recombination	REACTOME	84
205111	Interleukin-6 signaling	REACTOME	11
205110	Interleukin-2 signaling	REACTOME	41
200309	Rheumatoid arthritis	KEGG	89
199556	Vitamin digestion and absorption	KEGG	24
199378	Ribosome biogenesis in eukaryotes	KEGG	77
198918	Type II interferon signaling (IFNG)	WikiPathways	50
198917	Eukaryotic Transcription Initiation	WikiPathways	42
198916	Oxidative Stress	WikiPathways	30
198915	Fatty Acid Omega Oxidation	WikiPathways	15
198913	miRNAs involved in DDR	WikiPathways	15
198912	Prostaglandin Synthesis and Regulation	WikiPathways	31
198910	BMP signalling and regulation	WikiPathways	12
198909	B Cell Receptor Signaling Pathway	WikiPathways	157
198908	IL-1 Signaling Pathway	WikiPathways	12
198907	Energy Metabolism	WikiPathways	48
198906	Calcium Regulation in the Cardiac Cell	WikiPathways	149
198905	Irinotecan Pathway	WikiPathways	13
198903	Striated Muscle Contraction	WikiPathways	38
198901	SIDS Susceptibility Pathways	WikiPathways	157
198900	Matrix Metalloproteinases	WikiPathways	30
198899	Sulfation Biotransformation Reaction	WikiPathways	17
198898	Estrogen metabolism	WikiPathways	17
198897	Peptide GPCRs	WikiPathways	70
198896	TP53 network	WikiPathways	19
198894	FAS pathway and Stress induction of HSP regulation	WikiPathways	38
198893	p38 MAPK Signaling Pathway	WikiPathways	34
198892	Small Ligand GPCRs	WikiPathways	18
198891	Notch Signaling Pathway	WikiPathways	46
198890	Homologous recombination	WikiPathways	12
198888	Eicosanoid Synthesis	WikiPathways	20
198887	Nuclear receptors in lipid metabolism and toxicity	WikiPathways	33
198886	GPCRs, Class A Rhodopsin-like	WikiPathways	256
198885	IL-2 Signaling Pathway	WikiPathways	76
198884	TNF-alpha/NF-kB Signaling Pathway	WikiPathways	187
198883	IL-9 Signaling Pathway	WikiPathways	23
198882	EPO Receptor Signaling	WikiPathways	26
198881	IL-3 Signaling Pathway	WikiPathways	100
198880	Complement and Coagulation Cascades	WikiPathways	50
198879	Delta-Notch Signaling Pathway	WikiPathways	85
198878	Serotonin Receptor 2 and ELK-SRF/GATA4 signaling	WikiPathways	17
198877	Apoptosis Modulation by HSP70	WikiPathways	19
198876	Nucleotide Metabolism	WikiPathways	20
198874	Regulation of Actin Cytoskeleton	WikiPathways	145
198873	Fatty Acid Biosynthesis	WikiPathways	22
198872	Serotonin Receptor 4/6/7 and NR3C Signaling	WikiPathways	19
198871	Id Signaling Pathway	WikiPathways	52
