setID	setName	source	size.orig	name.source
989139	AMPK signaling pathway	KEGG	123	AMPK signaling pathway
983748	cGMP-PKG signaling pathway	KEGG	167	cGMP-PKG signaling pathway
980488	Transcriptional activation of mitochondrial biogenesis	REACTOME	45	Transcriptional activation of mitochondrial biogenesis
980485	Organelle biogenesis and maintenance*	REACTOME	54	Organelle biogenesis and maintenance*
980484	negative regulation of TCF-dependent signaling by WNT ligand antagonists	REACTOME	15	negative regulation of TCF-dependent signaling by WNT ligand antagonists
980483	regulation of FZD by ubiquitination	REACTOME	21	regulation of FZD by ubiquitination
980482	degradation of AXIN	REACTOME	54	degradation of AXIN
980481	degradation of DVL	REACTOME	56	degradation of DVL
980480	deactivation of the beta-catenin transactivating complex	REACTOME	32	deactivation of the beta-catenin transactivating complex
980478	formation of the beta-catenin:TCF transactivating complex	REACTOME	87	formation of the beta-catenin:TCF transactivating complex
980477	disassembly of the destruction complex and recruitment of AXIN to the membrane	REACTOME	29	disassembly of the destruction complex and recruitment of AXIN to the membrane
980475	TCF dependent signaling in response to WNT	REACTOME	216	TCF dependent signaling in response to WNT
980474	Regulation of HSF1-mediated heat shock response	REACTOME	19	Regulation of HSF1-mediated heat shock response
980472	HSF1-dependent transactivation	REACTOME	21	HSF1-dependent transactivation
980470	Cellular response to heat stress	REACTOME	38	Cellular response to heat stress
980460	O-glycosylation of TSR domain-containing proteins	REACTOME	39	O-glycosylation of TSR domain-containing proteins
980459	O-linked glycosylation	REACTOME	101	O-linked glycosylation
980458	Sialic acid metabolism	REACTOME	33	Sialic acid metabolism
980455	Transcriptional regulation of pluripotent stem cells	REACTOME	21	Transcriptional regulation of pluripotent stem cells
980453	SIRT1 negatively regulates rRNA Expression	REACTOME	65	SIRT1 negatively regulates rRNA Expression
980452	Negative epigenetic regulation of rRNA expression*	REACTOME	98	Negative epigenetic regulation of rRNA expression*
980450	PRC2 methylates histones and DNA	REACTOME	70	PRC2 methylates histones and DNA
980449	Epigenetic regulation of gene expression	REACTOME	113	Epigenetic regulation of gene expression
980448	Depolymerisation of the Nuclear Lamina	REACTOME	15	Depolymerisation of the Nuclear Lamina
952859	Oxytocin signaling pathway	KEGG	158	Oxytocin signaling pathway
952858	Platelet activation	KEGG	131	Platelet activation
948277	Inflammatory mediator regulation of TRP channels	KEGG	99	Inflammatory mediator regulation of TRP channels
946598	Thyroid hormone signaling pathway	KEGG	119	Thyroid hormone signaling pathway
941402	Chromatin organization*	REACTOME	139	Chromatin organization*
941401	Condensation of Prophase Chromosomes	REACTOME	71	Condensation of Prophase Chromosomes
941400	Detoxification of Reactive Oxygen Species	REACTOME	27	Detoxification of Reactive Oxygen Species
941399	Ca2+ pathway	REACTOME	64	Ca2+ pathway
941397	WNT5A-dependent internalization of FZD4	REACTOME	15	WNT5A-dependent internalization of FZD4
941396	Asymmetric localization of PCP proteins	REACTOME	63	Asymmetric localization of PCP proteins
941395	PCP/CE pathway	REACTOME	91	PCP/CE pathway
941394	beta-catenin independent WNT signaling	REACTOME	147	beta-catenin independent WNT signaling
921162	FoxO signaling pathway	KEGG	133	FoxO signaling pathway
920995	Dopamine metabolism	WikiPathways	13	Dopamine metabolism
920993	Interferon type I	WikiPathways	49	Interferon type I
920978	Physiological and Pathological Hypertrophy of the Heart	WikiPathways	24	Physiological and Pathological Hypertrophy of the Heart
920977	RB in Cancer	WikiPathways	87	RB in Cancer
920975	Amyotrophic lateral sclerosis (ALS)	WikiPathways	34	Amyotrophic lateral sclerosis (ALS) (WikiPathways)
920974	Vitamin B12 Metabolism	WikiPathways	19	Vitamin B12 Metabolism
920968	IL17 signaling pathway	WikiPathways	31	IL17 signaling pathway
920963	Allograft Rejection	WikiPathways	36	Allograft Rejection (WikiPathways)
920958	Trans-sulfuration and one carbon metabolism	WikiPathways	31	Trans-sulfuration and one carbon metabolism
920957	Corticotropin-releasing hormone	WikiPathways	90	Corticotropin-releasing hormone
908257	Adrenergic signaling in cardiomyocytes	KEGG	149	Adrenergic signaling in cardiomyocytes
906029	Laminin interactions	REACTOME	23	Laminin interactions
906028	TRP channels	REACTOME	25	TRP channels
905997	Signaling by Leptin	REACTOME	21	Signaling by Leptin
905996	Senescence-Associated Secretory Phenotype (SASP)	REACTOME	105	Senescence-Associated Secretory Phenotype (SASP)
905995	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	REACTOME	16	Formation of Senescence-Associated Heterochromatin Foci (SAHF)
905994	DNA Damage/Telomere Stress Induced Senescence	REACTOME	76	DNA Damage/Telomere Stress Induced Senescence
905993	Oxidative Stress Induced Senescence	REACTOME	120	Oxidative Stress Induced Senescence
905992	Oncogene Induced Senescence	REACTOME	30	Oncogene Induced Senescence
905991	Cellular Senescence	REACTOME	187	Cellular Senescence
905990	Glycogen synthesis	REACTOME	15	Glycogen synthesis
868086	Rap1 signaling pathway	KEGG	213	Rap1 signaling pathway
868085	Ras signaling pathway	KEGG	227	Ras signaling pathway
868084	Fatty acid metabolism	KEGG	48	Fatty acid metabolism
862188	Non-alcoholic fatty liver disease (NAFLD)	KEGG	147	Non-alcoholic fatty liver disease (NAFLD)
855811	Citrate cycle (TCA cycle, Krebs cycle)	KEGG	22	Citrate cycle (TCA cycle, Krebs cycle)
852705	MicroRNAs in cancer	KEGG	150	MicroRNAs in cancer
842771	Inflammatory bowel disease (IBD)	KEGG	63	Inflammatory bowel disease (IBD)
835410	Thyroid hormone synthesis	KEGG	72	Thyroid hormone synthesis
833832	WNT ligand biogenesis and trafficking	REACTOME	26	WNT ligand biogenesis and trafficking
833829	Role of LAT2/NTAL/LAB on calcium mobilization	REACTOME	104	Role of LAT2/NTAL/LAB on calcium mobilization
833828	FCERI mediated NF-kB activation	REACTOME	24	FCERI mediated NF-kB activation
833827	FCERI mediated Ca+2 mobilization	REACTOME	30	FCERI mediated Ca+2 mobilization
833826	FCERI mediated MAPK activation	REACTOME	34	FCERI mediated MAPK activation
833825	Fc epsilon receptor (FCERI) signaling	REACTOME	173	Fc epsilon receptor (FCERI) signaling
833823	Regulation of innate immune responses to cytosolic DNA	REACTOME	15	Regulation of innate immune responses to cytosolic DNA
833822	DEx/H-box helicases activate type I IFN and inflammatory cytokines production	REACTOME	13	DEx/H-box helicases activate type I IFN and inflammatory cytokines production
833819	IRF3-mediated induction of type I IFN	REACTOME	13	IRF3-mediated induction of type I IFN
833814	Scavenging by Class A Receptors	REACTOME	19	Scavenging by Class A Receptors
833812	ECM proteoglycans	REACTOME	55	ECM proteoglycans
833811	Syndecan interactions	REACTOME	20	Syndecan interactions
833810	Non-integrin membrane-ECM interactions	REACTOME	42	Non-integrin membrane-ECM interactions
833804	Cobalamin (Cbl, vitamin B12) transport and metabolism	REACTOME	19	Cobalamin (Cbl, vitamin B12) transport and metabolism
833803	Nuclear Pore Complex (NPC) Disassembly	REACTOME	33	Nuclear Pore Complex (NPC) Disassembly
833796	Reproduction*	REACTOME	26	Reproduction*
833793	The phototransduction cascade*	REACTOME	33	The phototransduction cascade*
814926	Carbon metabolism	KEGG	106	Carbon metabolism
814182	Prolactin signaling pathway	KEGG	72	Prolactin signaling pathway (KEGG)
812256	TNF signaling pathway	KEGG	110	TNF signaling pathway
799177	Estrogen signaling pathway	KEGG	100	Estrogen signaling pathway (KEGG)
790012	Biosynthesis of amino acids	KEGG	73	Biosynthesis of amino acids
790011	Ovarian steroidogenesis	KEGG	51	Ovarian steroidogenesis
782000	Proteoglycans in cancer	KEGG	222	Proteoglycans in cancer
777534	Insulin secretion	KEGG	86	Insulin secretion
771603	Peptide hormone metabolism	REACTOME	85	Peptide hormone metabolism
771602	NOTCH2 Activation and Transmission of Signal to the Nucleus	REACTOME	21	NOTCH2 Activation and Transmission of Signal to the Nucleus
771600	Scavenging of heme from plasma	REACTOME	13	Scavenging of heme from plasma
771599	Binding and Uptake of Ligands by Scavenger Receptors	REACTOME	41	Binding and Uptake of Ligands by Scavenger Receptors
771593	Constitutive Signaling by NOTCH1 PEST Domain Mutants*	REACTOME	57	Constitutive Signaling by NOTCH1 PEST Domain Mutants*
771591	Constitutive Signaling by NOTCH1 HD Domain Mutants	REACTOME	15	Constitutive Signaling by NOTCH1 HD Domain Mutants
771585	The canonical retinoid cycle in rods (twilight vision)	REACTOME	22	The canonical retinoid cycle in rods (twilight vision)
771581	Diseases associated with visual transduction*	REACTOME	96	Diseases associated with visual transduction*
771580	Role of phospholipids in phagocytosis	REACTOME	24	Role of phospholipids in phagocytosis
771579	Regulation of actin dynamics for phagocytic cup formation	REACTOME	58	Regulation of actin dynamics for phagocytic cup formation
771578	FCGR activation	REACTOME	12	FCGR activation
771577	Fcgamma receptor (FCGR) dependent phagocytosis	REACTOME	82	Fcgamma receptor (FCGR) dependent phagocytosis
771576	Cytosolic iron-sulfur cluster assembly	REACTOME	14	Cytosolic iron-sulfur cluster assembly
771570	Nuclear Envelope Breakdown	REACTOME	50	Nuclear Envelope Breakdown
771569	Regulation of PLK1 Activity at G2/M Transition	REACTOME	80	Regulation of PLK1 Activity at G2/M Transition
771568	Stimuli-sensing channels	REACTOME	92	Stimuli-sensing channels
760637	Gastric cancer network 2	WikiPathways	32	Gastric cancer network 2
760636	Sphingolipid Metabolism	WikiPathways	21	Sphingolipid Metabolism (WikiPathways)
760635	Gastric cancer network 1	WikiPathways	42	Gastric cancer network 1
755440	Prostate Cancer	WikiPathways	109	Prostate Cancer (WikiPathways)
755439	Regulation of Microtubule Cytoskeleton	WikiPathways	44	Regulation of Microtubule Cytoskeleton
755438	SREBF and miR33 in cholesterol and lipid homeostasis	WikiPathways	16	SREBF and miR33 in cholesterol and lipid homeostasis
755436	AhR pathway	WikiPathways	29	AhR pathway
749777	Hippo signaling pathway	KEGG	153	Hippo signaling pathway
739008	Trans-sulfuration pathway	WikiPathways	10	Trans-sulfuration pathway
739007	Spinal Cord Injury	WikiPathways	111	Spinal Cord Injury
730349	Signaling by Activin	REACTOME	13	Signaling by Activin
730347	SHC-related events triggered by IGF1R	REACTOME	18	SHC-related events triggered by IGF1R
730334	Synthesis of Leukotrienes (LT) and Eoxins (EX)	REACTOME	20	Synthesis of Leukotrienes (LT) and Eoxins (EX)
