objID	objStat	objName	chr	startpos	endpos	strand	treesize	usedseqlength	branchlength	genelength
10307	0	APBB3	5	140558268	140564604	-1	5	486	0.00775	6337
323	0.41992925542644	APBB2	4	40810027	41216714	-1	7	759	0.009757	406688
10630	0	PDPN	1	13583757	13617957	1	6	235	0.040901	34201
3993	0	LLGL2	17	75525690	75575209	1	7	1019	0.022542	49520
3996	0	LLGL1	17	18225593	18244875	1	6	1064	0.014749	19283
134957	0	STXBP5	6	147204358	147390476	1	7	1152	0.008325	186119
9515	0	STXBP5L	3	120908203	121424761	1	6	1149	0.0064	516559
23788	0	MTCH2	11	47617306	47642654	-1	5	284	0.004227	25349
23589	0	CARHSP1	16	8852942	8869012	-1	8	147	0.047748	16071
132720	0.0376060309071274	C4orf32	4	112145397	112189081	1	6	132	0.023611	43685
8879	0	SGPL1	10	70815948	70881189	1	8	568	0.007088	65242
64755	0.688145394910853	C16orf58	16	31489475	31508419	-1	6	468	0.008851	18945
10469	0	TIMM44	19	7926718	7943823	-1	9	452	0.006892	17106
3976	0	LIF	22	30240447	30257381	-1	6	202	0.012889	16935
145173	0	B3GALTL	13	31199975	31332276	1	7	475	0.004784	132302
50511	0	SYCP3	12	101728648	101739689	-1	7	236	0.017045	11042
4850	0	CNOT4	7	135361795	135510127	-1	5	709	0.001456	148333
84864	0	MINA	3	97941817	97972451	-1	8	465	0.013299	30635
25880	0	TMEM186	16	8795180	8797648	-1	7	213	0.013556	2469
23420	0.0814447641448792	NOMO1,NOMO2,NOMO3	16	14833786	14896157	1	7	1222	0.010648	62372
1657	0	DMXL1	5	119071108	119249127	1	7	3027	0.007709	178020
23312	0.077459665652181	DMXL2	15	51447724	51622833	-1	7	3036	0.004564	175110
58509	0	CACTIN	19	3610628	3626815	-1	5	673	0.060154	16188
6242	0	RTKN	2	74425861	74441933	-1	8	563	0.001621	16073
219790	0	RTKN2	10	62193086	62268863	-1	7	609	0.00385	75778
55972	0	SLC25A40	7	87833561	87876377	-1	8	338	0.007776	42817
51629	0	SLC25A39	17	44319625	44324849	-1	8	359	0.011172	5225
81565	0.00251514607119277	NDEL1	17	8413129	8468177	1	6	345	0.004531	55049
2638	0	GC	4	71741678	71805520	-1	7	474	0.011505	63843
213	0	ALB	4	73404255	73421412	1	7	608	0.010179	17158
173	0	AFM	4	73481740	73504001	1	6	599	0.016941	22262
174	0	AFP	4	73436219	73455785	1	8	609	0.005873	19567
7031	0.311932031093372	TFF1	21	42362282	42366535	-1	8	84	0.033701	4254
7032	0.884470999622911	TFF2	21	42346357	42351099	-1	8	129	0.020758	4743
11097	0	NUPL2	7	23181827	23201011	1	8	423	0.016203	19185
3601	0	IL15RA	10	5952371	5978578	-1	7	267	0.019892	26208
401647	0	GOLGA7B	10	97850238	97871578	1	8	166	0.025559	21341
79983	1.08102319192696	POF1B	X	85277389	85379743	-1	8	589	0.013447	102355
84417	0	C2orf40	2	106064298	106078155	1	7	148	0.021412	13858
167681	0	PRSS35	6	83512475	83525704	1	6	413	0.016395	13230
11098	0	PRSS23	11	86695888	86811233	1	8	383	0.008726	115346
79989	0	TTC26	7	139133744	139191986	1	7	554	0.003771	58243
100287284	0	MANSC4	12	27762666	27771406	-1	8	338	0.006926	8741
116841	0	SNAP47	1	227734996	227781231	1	6	458	0.007165	46236
134147	0.180266895517461	CMBL	5	10277595	10308056	-1	7	245	0.016668	30462
51069	0	MRPL2	6	43054029	43060515	-1	5	305	0.013103	6487
