objID	objStat	objName	chr	startpos	endpos	strand	treesize	usedseqlength	branchlength	genelength
1	22937	0	SCAP	3	47413694	47476113	-1	5	1278	0.008507	62420
2	3993	0	LLGL2	17	75525690	75575209	1	7	1019	0.008498	49520
3	3996	0	LLGL1	17	18225593	18244875	1	6	1064	0.049238	19283
4	8879	0	SGPL1	10	70815948	70881189	1	8	568	0.003376	65242
5	10469	0	TIMM44	19	7926718	7943823	-1	9	452	0.005705	17106
6	3976	0	LIF	22	30240447	30257381	-1	6	202	0.012889	16935
7	145173	0	B3GALTL	13	31199975	31332276	1	7	475	0.007341	132302
8	50511	0	SYCP3	12	101728648	101739689	-1	7	236	0.012812	11042
9	4850	0	CNOT4	7	135361795	135510127	-1	5	709	0.001797	148333
10	84864	0	MINA	3	97941817	97972451	-1	8	465	0.007967	30635
11	6242	0	RTKN	2	74425861	74441933	-1	8	563	0.005775	16073
12	81565	0	NDEL1	17	8413129	8468177	1	6	345	0.001936	55049
13	2638	0	GC	4	71741678	71805520	-1	7	474	0.005607	63843
14	213	0	ALB	4	73404255	73421412	1	7	608	0.011524	17158
15	174	0	AFP	4	73436219	73455785	1	8	609	0.003625	19567
16	7031	0.836654904078723	TFF1	21	42362282	42366535	-1	8	84	0.012523	4254
17	11097	0	NUPL2	7	23181827	23201011	1	8	423	0.003326	19185
18	3601	0	IL15RA	10	5952371	5978578	-1	7	267	0.016333	26208
19	51069	0	MRPL2	6	43054029	43060515	-1	5	305	0.00265	6487
20	6182	0	MRPL12	17	81703370	81707526	1	6	198	0.040723	4157
21	79902	0	NUP85	17	75205502	75235759	1	8	656	0.004885	30258
22	6786	0	STIM1	11	3855703	4093210	1	6	685	0.00155	237508
23	57620	0	STIM2	4	26860691	27025381	1	8	695	0.00464	164691
24	80142	0	PTGES2	9	128120693	128128462	-1	6	377	0.004014	7770
25	11232	0.0376060298382997	POLG2	17	64477785	64497066	-1	7	485	0.001365	19282
26	9441	0	MED26	19	16574907	16628204	-1	8	600	0.006413	53298
27	5147	0	PDE6D	2	231732437	231781264	-1	6	150	0.015882	48828
28	9468	0	PCYT1B	X	24558087	24672862	-1	6	369	0.002511	114776
29	245932	0.654490127865471	DEFB119	20	31377163	31390649	-1	6	88	0.012216	13487
30	26574	0	AATF	17	36948875	37056871	1	7	560	0.007775	107997
31	2618	0.0447213582507106	GART	21	33503931	33542917	-1	7	1010	0.001976	38987
32	1491	0.246931984313847	CTH	1	70411218	70439851	1	6	405	0.011844	28634
33	4521	0	NUDT1	7	2242222	2251145	1	7	176	0.023529	8924
34	10978	0	CLP1	11	57657743	57661865	1	7	425	0.007313	4123
35	81847	0.0984650177185753	RNF146	6	127266682	127288562	1	9	359	0.002845	21881
36	8405	0	SPOP	17	49598884	49678163	-1	7	374	0.007107	79280
37	5074	0.746148056161791	PAWR	12	79584879	79691010	-1	5	340	0.004046	106132
38	820	0	CAMP	3	48223347	48225491	1	7	170	0.033937	2145
39	3930	0	LBR	1	225401502	225428855	-1	7	615	0.003296	27354
40	7108	0	TM7SF2	11	65111854	65116235	1	6	417	0.008057	4382
41	1717	0.462954482854333	DHCR7	11	71434411	71448431	-1	5	475	0.011108	14021
42	6873	0	TAF2	8	119730774	119832863	-1	7	1199	0.001736	102090
43	92960	0	PEX11G	19	7472547	7491000	-1	8	241	0.009134	18454
44	133	0	ADM	11	10305095	10307376	1	8	185	0.01256	2282
45	5428	0.966456141002605	POLG	15	89316305	89334795	-1	7	1233	0.009671	18491
46	5860	0	QDPR	4	17486393	17512234	-1	8	243	0.003962	25842
47	50632	0	CALY	10	133325424	133336971	-1	7	217	0.011641	11548
48	4295	0.00280689202947199	MLN	6	33794672	33804016	-1	9	115	0.018334	9345
49	1635	0	DCTD	4	182890091	182917477	-1	6	189	0.013977	27387
50	5238	0	PGM3	6	83164873	83193936	-1	8	542	0.001921	29064
51	4683	0	NBN	8	89933336	89984724	-1	9	755	0.001249	51389
52	84803	0	AGPAT9	4	83535733	83605875	1	7	434	0.009446	70143
53	7514	0	XPO1	2	61477934	61538305	-1	7	1071	0.002887	60372
54	2309	0.0376060341136101	FOXO3	6	108559823	108684769	1	8	672	0.001378	124947
55	2308	0	FOXO1	13	40555664	40666597	-1	6	655	0.007565	110934
56	4303	0.501235413711636	FOXO4	X	71096149	71103534	1	5	415	0.004487	7386
