objID	objStat	objName	chr	startpos	endpos	strand	treesize	usedseqlength	branchlength	genelength
22937	0	SCAP	3	47413694	47476113	-1	5	1278	0.023225	62420
3993	0	LLGL2	17	75525690	75575209	1	7	1019	0.044748	49520
3996	0	LLGL1	17	18225593	18244875	1	6	1064	0.049238	19283
8879	0	SGPL1	10	70815948	70881189	1	8	568	0.018692	65242
10469	0	TIMM44	19	7926718	7943823	-1	9	452	0.054177	17106
3976	0.125869316867035	LIF	22	30240447	30257381	-1	6	202	0.016727	16935
145173	0	B3GALTL	13	31199975	31332276	1	7	475	0.046437	132302
50511	0	SYCP3	12	101728648	101739689	-1	7	236	0.012812	11042
4850	0.0494923186005022	CNOT4	7	135361795	135510127	-1	5	709	0.011723	148333
84864	0	MINA	3	97941817	97972451	-1	8	465	0.013604	30635
6242	0	RTKN	2	74425861	74441933	-1	8	563	0.017718	16073
81565	0	NDEL1	17	8413129	8468177	1	6	345	0.035669	55049
2638	0	GC	4	71741678	71805520	-1	7	474	0.039578	63843
213	1.02456260732921	ALB	4	73404255	73421412	1	7	608	0.050392	17158
174	0.462338481238434	AFP	4	73436219	73455785	1	8	609	0.021668	19567
7031	0	TFF1	21	42362282	42366535	-1	8	84	0.085358	4254
11097	0	NUPL2	7	23181827	23201011	1	8	423	0.018394	19185
3601	0.543866221030497	IL15RA	10	5952371	5978578	-1	7	267	0.093255	26208
51069	0	MRPL2	6	43054029	43060515	-1	5	305	0.030648	6487
6182	1.24225963239229	MRPL12	17	81703370	81707526	1	6	198	0.064506	4157
79902	1.20299053837647	NUP85	17	75205502	75235759	1	8	656	0.055476	30258
6786	0	STIM1	11	3855703	4093210	1	6	685	0.001805	237508
57620	0	STIM2	4	26860691	27025381	1	8	695	0.016386	164691
80142	0	PTGES2	9	128120693	128128462	-1	6	377	0.018322	7770
11232	0	POLG2	17	64477785	64497066	-1	7	485	0.030483	19282
9441	0	MED26	19	16574907	16628204	-1	8	600	0.040044	53298
5147	0	PDE6D	2	231732437	231781264	-1	6	150	0.017363	48828
9468	0	PCYT1B	X	24558087	24672862	-1	6	369	0.024462	114776
245932	0.890001273102819	DEFB119	20	31377163	31390649	-1	6	88	0.020632	13487
26574	0	AATF	17	36948875	37056871	1	7	560	0.040221	107997
2618	0	GART	21	33503931	33542917	-1	7	1010	0.026127	38987
1491	0.285307282935922	CTH	1	70411218	70439851	1	6	405	0.052868	28634
4521	1.04959716592671	NUDT1	7	2242222	2251145	1	7	176	0.055197	8924
10978	0	CLP1	11	57657743	57661865	1	7	425	0.007858	4123
81847	0	RNF146	6	127266682	127288562	1	9	359	0.016947	21881
8405	0	SPOP	17	49598884	49678163	-1	7	374	0.002691	79280
10126	0	DNAL4	22	38778508	38794156	-1	6	105	0.001169	15649
5074	0.746148056161791	PAWR	12	79584879	79691010	-1	5	340	0.004046	106132
820	1.3847352059489	CAMP	3	48223347	48225491	1	7	170	0.088056	2145
3930	0	LBR	1	225401502	225428855	-1	7	615	0.025365	27354
7108	0	TM7SF2	11	65111854	65116235	1	6	417	0.049689	4382
1717	0	DHCR7	11	71434411	71448431	-1	5	475	0.0093	14021
6873	0	TAF2	8	119730774	119832863	-1	7	1199	0.018665	102090
92960	0	PEX11G	19	7472547	7491000	-1	8	241	0.049858	18454
133	0	ADM	11	10305095	10307376	1	8	185	0.014086	2282
5428	0	POLG	15	89316305	89334795	-1	7	1233	0.025225	18491
5860	0	QDPR	4	17486393	17512234	-1	8	243	0.06243	25842
50632	0	CALY	10	133325424	133336971	-1	7	217	0.01891	11548
4295	0	MLN	6	33794672	33804016	-1	9	115	0.081442	9345
1635	0	DCTD	4	182890091	182917477	-1	6	189	0.010322	27387
5238	0	PGM3	6	83164873	83193936	-1	8	542	0.000364	29064
4683	0	NBN	8	89933336	89984724	-1	9	755	0.024385	51389
84803	0.207280250190919	AGPAT9	4	83535733	83605875	1	7	434	0.026311	70143
7514	0	XPO1	2	61477934	61538305	-1	7	1071	0.015703	60372
2309	0	FOXO3	6	108559823	108684769	1	8	672	0.020364	124947
2308	0	FOXO1	13	40555664	40666597	-1	6	655	0.016631	110934
4303	0.501235413711636	FOXO4	X	71096149	71103534	1	5	415	0.004487	7386
124995	0.069992710187433	MRPL10	17	47823272	47831541	-1	9	256	0.027029	8270
245938	0	DEFB125	20	87710	96655	1	9	146	0.014773	8946
