objID	objStat	objName	SNPcount	chr	startpos	endpos	strand
1	0.09907	A1BG	1	19	58858172	58864865	-1
10	0.10124	NAT2	50	8	18248755	18258723	1
100	0.17454	ADA	16	20	43248163	43280376	-1
1000	0.19618	CDH2	69	18	25530930	25757445	-1
10000	0.12726	AKT3	47	1	243651535	244006886	-1
10001	0.19596	MED6	8	14	71050957	71067384	-1
10002	0.11822	NR2E3	1	15	72102894	72110600	1
10003	0.57409	NAALAD2	11	11	89867818	89925779	1
100037417	0.2663	DDTL	1	22	24309026	24314748	1
100038246	0.18251	TLX1NB	14	10	102849078	102890903	-1
10004	0.18731	NAALADL1	1	11	64812295	64826009	-1
100049587	0.17293	SIGLEC14	20	19	52145806	52150132	-1
10005	0.1115	ACOT8	3	20	44470360	44486048	-1
10006	0.15531	ABI1	30	10	27035525	27150016	-1
10007	0.12648	GNPDA1	11	5	141380234	141392620	-1
10008	0.20849	KCNE3	16	11	74165886	74178600	-1
10009	0.34768	ZBTB33	5	X	119384607	119392251	1
1001	0.12851	CDH3	21	16	68678151	68732957	1
10010	0.261	TANK	23	2	161993466	162092683	1
100101467	0.08548	ZSCAN30	7	18	32831023	32870196	-1
100113407	0.14766	TMEM170B	38	6	11538511	11583757	1
100127206	0.15734	KIAA1024L	11	5	129083884	129100756	1
100127889	0.09607	C10orf131	9	10	97667722	97698415	1
100127946	0.11815	LOC100127946	34	11	69830650	69866574	1
100127971	0.08271	LOC100127971	1	12	50487389	50491626	1
100127983	0.09884	LOC100127983	2	8	91970706	91997485	-1
100128088	0.09179	LOC100128088	9	11	102621798	102625674	-1
100128107	0.08328	LOC100128107	1	19	51585560	51586648	-1
100128124	0.14766	HGC6	10	6	168376604	168377619	-1
100128160	0.5937	LOC100128160	34	3	70246077	70264477	-1
100128170	0.12598	LOC100128170	26	20	42016401	42017109	1
100128172	0.13521	LOC100128172	1	20	61072993	61074183	-1
100128265	0.10873	LOC100128265	8	X	145507941	145508828	1
100128274	0.08147	LOC100128274	1	9	32433797	32436074	-1
100128317	0.12957	LOC100128317	29	7	81102005	81259953	-1
100128326	0.13955	LOC100128326	3	7	55815056	55815779	-1
100128327	0.3325	BET3L	13	6	116817646	116866773	-1
100128402	0.09167	LOC100128402	3	12	8381402	8381982	1
100128437	0.10729	LOC100128437	21	15	60337448	60340906	1
100128496	0.10736	C20orf78	21	20	18790372	18810839	-1
100128517	0.25023	LOC100128517	45	6	14323069	14323715	1
100128529	0.41374	LOC100128529	3	19	51401874	51402314	1
100128553	0.08984	CTAGE4	5	7	143880548	143883173	1
100128569	0.22892	C19orf71	1	19	3539155	3544028	1
100128571	0.17013	LOC100128571	8	17	47194515	47194883	-1
100128591	0.12264	LOC100128591	6	20	44393987	44394907	-1
100128651	0.13584	LOC100128651	7	4	5953402	5954868	-1
100128691	0.08619	LOC100128691	1	5	115783249	115785557	1
100128824	0.11636	LOC100128824	21	4	171185909	171186476	1
100128905	0.15826	LOC100128905	17	2	174890008	174891886	1
100128927	0.10623	ZBTB42	2	14	105266933	105271049	1
