objID	objStat	objName	chr	startpos	endpos	strand	treesize	usedseqlength	branchlength	genelength
10307	0	APBB3	5	140558268	140564604	-1	5	486	0.014939	6337
323	0	APBB2	4	40810027	41216714	-1	7	759	0.020276	406688
22937	0	SCAP	3	47413694	47476113	-1	5	1278	0.011282	62420
10630	0	PDPN	1	13583757	13617957	1	6	235	0.162208	34201
3993	0	LLGL2	17	75525690	75575209	1	7	1019	0.044748	49520
3996	0	LLGL1	17	18225593	18244875	1	6	1064	0.049238	19283
134957	0	STXBP5	6	147204358	147390476	1	7	1152	0.009439	186119
9515	0	STXBP5L	3	120908203	121424761	1	6	1149	0.002487	516559
23788	0	MTCH2	11	47617306	47642654	-1	5	284	0.004275	25349
23787	0.0494923195382732	MTCH1	6	36968135	36986551	-1	6	347	0.014646	18417
23589	0	CARHSP1	16	8852942	8869012	-1	8	147	0.024324	16071
27254	0	CSDC2	22	41561010	41576666	1	5	153	0.017774	15657
132720	0.0376060309071274	C4orf32	4	112145397	112189081	1	6	132	0.023611	43685
8879	0	SGPL1	10	70815948	70881189	1	8	568	0.005861	65242
64755	0	C16orf58	16	31489475	31508419	-1	6	468	0.019943	18945
10469	0	TIMM44	19	7926718	7943823	-1	9	452	0.01815	17106
84337	0	ELOF1	19	11553043	11559236	-1	7	83	0.012813	6194
3976	0.125869316867035	LIF	22	30240447	30257381	-1	6	202	0.016727	16935
145173	0	B3GALTL	13	31199975	31332276	1	7	475	0.046437	132302
50511	0	SYCP3	12	101728648	101739689	-1	7	236	0.012812	11042
4850	0.0494923186005022	CNOT4	7	135361795	135510127	-1	5	709	0.011723	148333
84864	0	MINA	3	97941817	97972451	-1	8	465	0.00706	30635
25880	0.444579810539333	TMEM186	16	8795180	8797648	-1	7	213	0.032319	2469
23420	0	NOMO2,NOMO3,NOMO1	16	14833786	14896157	1	7	1222	0.021534	62372
1657	0	DMXL1	5	119071108	119249127	1	7	3027	0.011856	178020
23312	0	DMXL2	15	51447724	51622833	-1	7	3036	0.022529	175110
58509	0	CACTIN	19	3610628	3626815	-1	5	673	0.060154	16188
6242	1.08770252544928	RTKN	2	74425861	74441933	-1	8	563	0.007982	16073
219790	0.460710933387614	RTKN2	10	62193086	62268863	-1	7	609	0.010456	75778
55972	0.366111059981037	SLC25A40	7	87833561	87876377	-1	8	338	0.014285	42817
51629	0	SLC25A39	17	44319625	44324849	-1	8	359	0.035213	5225
81565	0	NDEL1	17	8413129	8468177	1	6	345	0.035669	55049
2638	0	GC	4	71741678	71805520	-1	7	474	0.017105	63843
213	1.40736137846331	ALB	4	73404255	73421412	1	7	608	0.043648	17158
173	0	AFM	4	73481740	73504001	1	6	599	0.022379	22262
174	0.430852699426451	AFP	4	73436219	73455785	1	8	609	0.012221	19567
7031	0.732847940529699	TFF1	21	42362282	42366535	-1	8	84	0.034465	4254
7032	0	TFF2	21	42346357	42351099	-1	8	129	0.068084	4743
11097	0	NUPL2	7	23181827	23201011	1	8	423	0.009749	19185
3601	0	IL15RA	10	5952371	5978578	-1	7	267	0.020386	26208
401647	0	GOLGA7B	10	97850238	97871578	1	8	166	0.013953	21341
79983	0	POF1B	X	85277389	85379743	-1	8	589	0.009021	102355
84417	0.00826665606716418	C2orf40	2	106064298	106078155	1	7	148	0.006993	13858
167681	0.445039994595247	PRSS35	6	83512475	83525704	1	6	413	0.007681	13230
11098	0	PRSS23	11	86695888	86811233	1	8	383	0.021315	115346
79989	0	TTC26	7	139133744	139191986	1	7	554	0.015598	58243
100287284	0	MANSC4	12	27762666	27771406	-1	8	338	0.02799	8741
116841	0	SNAP47	1	227734996	227781231	1	6	458	0.027224	46236
134147	0.372203162379262	CMBL	5	10277595	10308056	-1	7	245	0.021294	30462
51069	0	MRPL2	6	43054029	43060515	-1	5	305	0.030648	6487
6182	0	MRPL12	17	81703370	81707526	1	6	198	0.040723	4157
55773	0	TBC1D23	3	100260817	100325252	1	8	699	0.006365	64436
79902	0.188255385811653	NUP85	17	75205502	75235759	1	8	656	0.013383	30258
6786	0	STIM1	11	3855703	4093210	1	6	685	0.001805	237508
57620	0	STIM2	4	26860691	27025381	1	8	695	0.006805	164691
165055	0	CCDC138	2	108786752	108876591	1	7	665	0.002153	89840
130576	0.685736089402928	LYPD6B	2	149038467	149215262	1	7	207	0.011352	176796
130574	0	LYPD6	2	149329985	149474148	1	6	171	0.025082	144164
27122	0	DKK3	11	11962996	12009826	-1	8	350	0.030805	46831
80142	0	PTGES2	9	128120693	128128462	-1	6	377	0.018322	7770
29081	0	METTL5	2	169811757	169824929	-1	5	209	0.031732	13173
8682	0	PEA15	1	160205335	160215372	1	8	130	0.003338	10038
1428	0	CRYM	16	21258518	21303083	-1	8	314	0.002354	44566
