objID	objStat	objName	SNPcount	chr	startpos	endpos	length	strand	dbsnp	bin
1	0.920066517632537	A1BG	2	19	58858172	58864865	6694	-1	rs1265956	2
2	0.97158308679952	A2M	24	12	9220304	9268558	48255	-1	rs226375	11
9	2.08275018956622	NAT1	46	8	18067290	18081198	13909	1	rs7009832	14
10	1.59743848319627	NAT2	46	8	18248755	18258723	9969	1	rs7845775	14
12	1.37204959238387	SERPINA3	42	14	95078714	95090390	11677	1	rs10132799	13
13	-0.403312972026498	AADAC	17	3	151531861	151546276	14416	1	rs9874357	9
15	-0.381942520609274	AANAT	1	17	74449433	74466199	16767	1	rs11077820	1
16	0.802741778342265	AARS	4	16	70286297	70323412	37116	-1	rs16970307	4
18	1.78469994422106	ABAT	55	16	8768444	8878432	109989	1	rs9940057	14
19	2.12668818318024	ABCA1	86	9	107543283	107690527	147245	-1	rs1561166	15
20	1.91184560751008	ABCA2	2	9	139901686	139923374	21689	-1	rs7031895	2
21	3.34935479506269	ABCA3	13	16	2325879	2390747	64869	-1	rs17135888	8
22	2.29036787785527	ABCB7	12	X	74273105	74376132	103028	-1	rs6647628	8
23	0.89266985161783	ABCF1	5	6	30539170	30559309	20140	1	rs6927597	4
24	1.98815997544644	ABCA4	112	1	94458393	94586705	128313	-1	rs4147836	15
25	2.45014171361739	ABL1	39	9	133589268	133763062	173795	1	rs12005009	13
26	2.67093629813786	ABP1	25	7	150549573	150558379	8807	1	rs10239568	11
27	1.08352378362828	ABL2	16	1	179068462	179198819	130358	-1	rs2816173	9
28	2.38891959712286	ABO	30	9	136130563	136150630	20068	-1	rs7466519	12
29	1.65151235530743	ABR	68	17	906759	1090616	183858	-1	rs2251575	14
30	0.198106166860832	ACAA1	3	3	38164201	38178733	14533	-1	rs2239621	3
31	2.00426202030824	ACACA	33	17	35441927	35766902	324976	-1	rs11659129	12
32	1.24166551091178	ACACB	50	12	109577202	109706031	128830	1	rs1642036	14
33	1.86927905905728	ACADL	6	2	211052714	211090215	37502	-1	rs12104563	5
34	1.49497104132007	ACADM	16	1	76190043	76229355	39313	1	rs1146600	9
35	1.05997494056538	ACADS	2	12	121163571	121177811	14241	1	rs10849781	2
36	1.37630896026378	ACADSB	23	10	124768429	124817806	49378	1	rs7919930	11
37	1.16623362756994	ACADVL	1	17	7123153	7128585	5433	1	rs8064573	1
38	0.981252987468055	ACAT1	11	11	107992258	108018895	26638	1	rs2280332	7
39	1.118405140165	ACAT2	3	6	160182989	160200087	17099	1	rs3798211	3
40	2.82854586706616	ACCN1	485	17	31340105	32483825	1143721	-1	rs28903	15
41	0.919136843985147	ACCN2	5	12	50451487	50477394	25908	1	rs450423	4
43	2.68320626777016	ACHE	5	7	100487615	100493541	5927	-1	rs4727468	4
47	2.69817871756831	ACLY	3	17	40023179	40075272	52094	-1	rs11870075	3
48	0.93625482775413	ACO1	38	9	32384601	32450834	66234	1	rs7047398	13
49	1.8521519945046	ACR	2	22	51176652	51183727	7076	1	rs2285395	2
50	2.57355378519219	ACO2	12	22	41865129	41924993	59865	1	rs203316	8
51	1.64624173448406	ACOX1	11	17	73937588	73975515	37928	-1	rs16968345	7
52	0.455101804350604	ACP1	1	2	264869	278283	13415	1	rs12714402	1
53	0.916631065242738	ACP2	2	11	47260853	47270457	9605	-1	rs11988	2
54	0.509979248551108	ACP5	6	19	11685475	11689801	4327	-1	rs2229531	5
55	1.39773719647958	ACPP	22	3	132036211	132087146	50936	1	rs309993	11
56	0.392736647885704	ACRV1	8	11	125542229	125550793	8565	-1	rs7106795	6
58	2.27091704848967	ACTA1	11	1	229566992	229569843	2852	-1	rs7516539	7
59	1.41936716499219	ACTA2	21	10	90694831	90751147	56317	-1	rs12241898	10
60	0.676895908893572	ACTB	8	7	5566779	5570232	3454	-1	rs13447427	6
70	2.46030238072839	ACTC1	33	15	35080297	35087927	7631	-1	rs12914224	12
71	1.55776063834096	ACTG1	6	17	79476997	79479892	2896	-1	rs7211870	5
72	1.26380507277027	ACTG2	24	2	74120093	74146780	26688	1	rs7581248	11
81	0.534149651616954	ACTN4	15	19	39138267	39221171	82905	1	rs4802747	9
86	0.985158951694027	ACTL6A	12	3	179280708	179306193	25486	1	rs713177	8
87	2.36788697954459	ACTN1	90	14	69340840	69446083	105244	-1	rs2268979	15
88	1.55278712326491	ACTN2	51	1	236849770	236927558	77789	1	rs2914919	14
89	0.397091483427624	ACTN3	6	11	66314391	66330797	16407	1	rs618838	5
90	3.30257928857873	ACVR1	50	2	158592958	158732374	139417	-1	rs10497191	14
91	2.31798750761974	ACVR1B	8	12	52345451	52390863	45413	1	rs11612312	6
92	1.28157435811691	ACVR2A	8	2	148602570	148688393	85824	1	rs4972314	6
93	0.685757564583612	ACVR2B	4	3	38495790	38534633	38844	1	rs2268761	4
94	1.02792310524065	ACVRL1	14	12	52301202	52317145	15944	1	rs772003	8
97	0.58331391032505	ACYP1	1	14	75519924	75530736	10813	-1	rs175505	1
98	2.58833906453709	ACYP2	54	2	54342410	54532437	190028	1	rs1001296	14
100	1.68855886125036	ADA	14	20	43248163	43280376	32214	-1	rs446125	8
101	1.83475499289645	ADAM8	5	10	135075920	135090407	14488	-1	rs7912335	4
102	1.74328410758901	ADAM10	33	15	58888510	59042177	153668	-1	rs514049	12
103	2.11768209787052	ADAR	18	1	154554533	154600456	45924	-1	rs6677920	10
104	1.62569760408465	ADARB1	59	21	46494493	46646478	151986	1	rs7279101	14
105	2.41627996466882	ADARB2	313	10	1223253	1779670	556418	-1	rs5013176	15
107	0.956519177926463	ADCY1	46	7	45614125	45762715	148591	1	rs10243170	14
108	2.48906374240861	ADCY2	162	5	7396343	7830194	433852	1	rs10052711	15
109	1.83662008598847	ADCY3	27	2	25042038	25142055	100018	-1	rs10176566	12
111	1.76985079216542	ADCY5	38	3	123001143	123167392	166250	-1	rs3935566	13
112	1.91105121188333	ADCY6	13	12	49159975	49182820	22846	-1	rs7975385	8
113	1.41800261948406	ADCY7	13	16	50321823	50352043	30221	1	rs1078151	8
114	2.2270489871982	ADCY8	128	8	131792547	132052835	260289	-1	rs7013860	15
115	1.49400619531589	ADCY9	87	16	4012650	4166186	153537	-1	rs13380478	15
116	0.924838347800278	ADCYAP1	35	18	904944	912173	7230	1	rs8091765	13
117	2.1854208977415	ADCYAP1R1	46	7	31092076	31151093	59018	1	rs6942498	14
118	1.14174026184697	ADD1	11	4	2845584	2931789	86206	1	rs4966	7
119	1.08916302731554	ADD2	70	2	70889216	70995375	106160	-1	rs13416248	14
120	2.78095050427962	ADD3	19	10	111765726	111895323	129598	1	rs11194976	10
123	0.986658665485836	PLIN2	18	9	19115759	19127604	11846	-1	rs9695394	10
124	1.62442094464823	ADH1A	6	4	100197523	100212185	14663	-1	rs3819197	5
125	1.94685600823791	ADH1B	10	4	100227527	100242572	15046	-1	rs1042026	7
126	1.42831226205753	ADH1C	12	4	100257649	100273917	16269	-1	rs2173201	8
127	1.47120383638957	ADH4	12	4	100044832	100065449	20618	-1	rs3762894	8
128	1.98720214733752	ADH5	11	4	99992129	100009931	17803	-1	rs1312200	7
130	1.58460547604367	ADH6	9	4	100123795	100140403	16609	-1	rs10008281	6
131	2.55450140680968	ADH7	34	4	100333418	100356667	23250	-1	rs10516441	13
132	2.56640084593534	ADK	63	10	75910943	76469061	558119	1	rs4746211	14
133	2.02682805751298	ADM	11	11	10326642	10328923	2282	1	rs2957710	7
134	1.49821268863322	ADORA1	28	1	203096836	203136533	39698	1	rs1587053	12
135	1.61509557076417	ADORA2A	5	22	24823530	24838325	14796	1	rs17004922	4
136	1.70890795901671	ADORA2B	12	17	15848231	15879210	30980	1	rs2535609	8
140	2.26920273548356	ADORA3	56	1	112025970	112106597	80628	-1	rs2800901	14
141	1.61972203785216	ADPRH	8	3	119298523	119308792	10270	1	rs13317715	6
142	1.34118005614829	PARP1	28	1	226548392	226595801	47410	-1	rs1136410	12
143	1.33826520528069	PARP4	36	13	24995069	25086948	91880	-1	rs9318554	13
